Advances,TID,SID,TSV
0,48163,64377,2283
1,5558,48163,5426
2,5691,5558,113
3,63864,5691,7656
4,39483,63864,3176
5,48056,39483,1072
6,42978,48056,907
7,56007,42978,4004
8,61120,56007,1664
9,64341,61120,690
10,60085,64341,572
11,10845,60085,6173
12,12122,10845,160
13,13903,12122,802
14,47875,13903,4521
15,28402,47875,6846
16,40493,28402,7707
17,15054,40493,5276
18,4759,15054,1291
19,16925,4759,2577
20,13662,16925,3816
21,49815,13662,7929
22,2513,49815,6504
23,50333,2513,6569
24,50901,50333,73
25,45438,50901,3829
26,50962,45438,3789
27,1014,50962,6300
28,21571,1014,2806
29,50969,21571,4715
30,93,50969,6376
31,9535,93,1196
32,58214,9535,6347
33,47029,58214,2714
34,62266,47029,2193
35,26938,62266,4928
36,21131,26938,1910
37,57485,21131,5696
38,63197,57485,714
39,23972,63197,5487
40,61780,23972,5534
41,2873,61780,8013
42,3207,2873,247
43,53198,3207,6249
44,57787,53198,1486
45,62564,57787,699
46,4652,62564,7369
47,21612,4652,2248
48,34134,21612,6695
49,35266,34134,402
50,31574,35266,7762
51,30893,31574,127
52,31451,30893,78
53,4927,31451,3388
54,46152,4927,5358
55,61579,46152,2200
56,61415,61579,1005
57,47995,61415,2707
58,37734,47995,1283
59,22115,37734,6304
60,19194,22115,915
61,11126,19194,3121
62,31955,11126,2804
63,20423,31955,1634
64,29126,20423,1984
65,11655,29126,2952
66,7259,11655,1595
67,11155,7259,1785
68,12200,11155,135
69,35731,12200,5255
70,55699,35731,2624
71,19773,55699,4757
72,32886,19773,6569
73,40058,32886,897
74,27198,40058,7880
75,63857,27198,4713
76,50042,63857,1857
77,13523,50042,7925
78,9970,13523,580
79,22493,9970,3621
80,6846,22493,2476
81,61148,6846,7820
82,1531,61148,7524
83,48712,1531,6006
84,31370,48712,6296
85,64940,31370,4324
86,24703,64940,5050
87,39145,24703,7954
88,11562,39145,5816
89,65450,11562,6736
90,58850,65450,841
91,33782,58850,3266
92,52980,33782,2464
93,33857,52980,2390
94,24939,33857,7333
95,27258,24939,354
96,1673,27258,3486
97,14548,1673,1995
98,13863,14548,478
99,48747,13863,4361
100,32090,48747,6246
101,61679,32090,4534
102,46349,61679,2236
103,7675,46349,5406
104,56430,7675,6194
105,64960,56430,1077
106,45410,64960,2452
107,64045,45410,2409
108,53601,64045,1385
109,35013,53601,2868
110,63326,35013,4083
111,4779,63326,7358
112,24495,4779,2464
113,58821,24495,5965
114,35087,58821,3481
115,56023,35087,2683
116,562,56023,6940
117,4099,562,582
118,50558,4099,6831
119,7200,50558,6955
120,24808,7200,3993
121,50865,24808,5323
122,56847,50865,791
123,27030,56847,5875
124,40698,27030,7917
125,64674,40698,3147
126,15917,64674,6225
127,14527,15917,210
128,34041,14527,6024
129,36676,34041,375
130,51493,36676,2252
131,45994,51493,3921
132,2922,45994,5912
133,30924,2922,3700
134,4690,30924,3411
135,38980,4690,4418
136,2436,38980,4664
137,61874,2436,7942
138,62330,61874,89
139,47339,62330,2418
140,3127,47339,5787
141,13664,3127,1834
142,9592,13664,515
143,62017,9592,6887
144,39280,62017,3430
145,56869,39280,2282
146,48922,56869,3111
147,43585,48922,683
148,25499,43585,6459
149,3183,25499,3582
150,48716,3183,5700
151,11414,48716,4699
152,12648,11414,959
153,52537,12648,8074
154,65397,52537,1609
155,30763,65397,4331
156,32210,30763,191
157,29633,32210,450
158,18208,29633,1692
159,20990,18208,731
160,5213,20990,2228
161,55934,5213,6596
162,16862,55934,4980
163,45369,16862,7708
164,11678,45369,5012
165,48977,11678,4697
166,40555,48977,1063
167,55427,40555,2269
168,53248,55427,272
169,44794,53248,4063
170,42511,44794,286
171,45202,42511,723
172,30916,45202,6410
173,13260,30916,2401
174,63303,13260,6289
175,14340,63303,6632
176,20808,14340,3369
177,15268,20808,3421
178,18083,15268,4000
179,7279,18083,2905
180,29836,7279,3356
181,59671,29836,5043
182,18929,59671,5148
183,53430,18929,4904
184,2290,53430,6920
185,17386,2290,2403
186,12699,17386,3662
187,46237,12699,4256
188,12869,46237,4315
189,31942,12869,2512
190,21581,31942,1297
191,8607,21581,3770
192,8188,8607,1996
193,47147,8188,5370
194,61658,47147,2334
195,28927,61658,4100
196,48063,28927,6504
197,38053,48063,1507
198,10848,38053,6104
199,20253,10848,3247
200,48170,20253,7782
201,57406,48170,2946
202,41641,57406,2130
203,61450,41641,2644
204,8144,61450,7675
205,12595,8144,1500
206,22227,12595,3324
207,63838,22227,5617
208,21633,63838,5563
209,21994,21633,45
210,41523,21994,7931
211,13639,41523,4846
212,36559,13639,6001
213,53282,36559,3037
214,35703,53282,2922
215,25317,35703,7474
216,5582,25317,3813
217,53099,5582,6996
218,49162,53099,492
219,47061,49162,3835
220,34588,47061,1561
221,24280,34588,6968
222,57787,24280,6124
223,59147,57787,214
224,22304,59147,5637
225,47603,22304,7642
226,2720,47603,5738
227,49381,2720,6472
228,4502,49381,6702
229,64753,4502,7596
230,43832,64753,2809
231,49276,43832,3432
232,7754,49276,7110
233,42023,7754,5965
234,9935,42023,4189
235,6716,9935,1950
236,3619,6716,643
237,36539,3619,4115
238,53798,36539,2963
239,8118,53798,6578
240,46178,8118,5498
241,30878,46178,6559
242,14418,30878,2073
243,3252,14418,1692
244,36907,3252,5011
245,8121,36907,4594
246,51683,8121,6859
247,37261,51683,2829
248,19013,37261,7033
249,34918,19013,6212
250,23113,34918,6725
251,44730,23113,7838
252,19229,44730,7348
253,5409,19229,3015
254,3955,5409,842
255,46505,3955,5979
256,44304,46505,791
257,25982,44304,6413
258,42937,25982,6232
259,33489,42937,1197
260,3817,33489,4487
261,12381,3817,2006
262,14843,12381,308
263,17670,14843,3999
264,2728,17670,2549
265,36189,2728,4350
266,54281,36189,2858
267,26126,54281,5696
268,21637,26126,1617
269,24974,21637,1697
270,39749,24974,8025
271,26740,39749,7782
272,50739,26740,5576
273,58217,50739,1195
274,21383,58217,5661
275,52891,21383,5027
276,55912,52891,670
277,27140,55912,5645
278,28736,27140,840
279,24341,28736,1514
280,23709,24341,113
281,64385,23709,5347
282,5089,64385,7436
283,23093,5089,2362
284,20754,23093,356
285,20167,20754,1018
286,41341,20167,7671
287,29922,41341,6835
288,22804,29922,1470
289,13428,22804,3500
290,50348,13428,7707
291,44205,50348,3328
292,6018,44205,5989
293,39697,6018,4498
294,5042,39697,4372
295,18726,5042,2898
296,22924,18726,533
297,41607,22924,8033
298,45025,41607,428
299,40554,45025,1585
300,1982,40554,4922
301,29394,1982,3757
302,34875,29394,8029
303,25856,34875,7591
304,9020,25856,2247
305,51699,9020,7513
306,8794,51699,7541
307,47846,8794,4887
308,21326,47846,7477
309,29995,21326,1228
310,3476,29995,3863
311,8678,3476,1422
312,50975,8678,7391
313,10597,50975,7631
314,25689,10597,2471
315,3885,25689,3438
316,28609,3885,3101
317,28403,28609,38
318,65504,28403,4642
319,57373,65504,1023
320,54900,57373,1741
321,38013,54900,2113
322,16898,38013,6863
323,18529,16898,332
324,4903,18529,2920
325,56629,4903,6594
326,39269,56629,2186
327,36161,39269,644
